# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Business/ Techni c al/ Industry and other related terms**

|  Term  |  Description  |
|:---|:---|
| “ABA”  | Applied Behaviour Analysis  |
| “ANM”  | Auxiliary Nurse Midwife  |
| “ASHA”  | Accredited Social Health Activist  |
| “ATL”  | Above-the-line  |
| “Attention- Deficit/Hyperactivity  Disorder” or “ADHD” | It is a chronic neurodevelopmental disorder that affects a person's ability to focus, control impulses, and  regulate activity levels. It is categorized into three subtypes:  -  Predominantly Inattentive: Characterized by difficulty sustaining attention, frequent  forgetfulness, and disorganization.  -  Predominantly Hyperactive-Impulsive: Marked by excessive movement, impulsivity, and  difficulty staying still.  -  Combined Type: A mix of inattention, hyperactivity, and impulsivity, which is the most common  form.  ADHD has a strong genetic component, but environmental influences such as prenatal exposure to  tobacco, low birth weight, and early childhood trauma may also contribute. Treatment options include  behavioural therapy, medication such as stimulants, and lifestyle interventions.  |
| “AI”  | Artificial Intelligence  |
| “Autism Spectrum Disorder”  or “ASD”  | It is a complex neurodevelopmental condition that affects social interaction, communication, and  behaviour. It is called a  “ spectrum ”  disorder because the severity of symptoms and functional abilities  can vary widely among individuals. Core features of ASD include:  -  Social communication challenges, such as difficulty understanding nonverbal cues, forming  relationships, or engaging in reciprocal conversations.  -  Repetitive behaviours and restricted interests, including fixation on specific topics, strict  adherence to routines, and repetitive movements like hand-flapping.  -  Sensory sensitivities, where individuals may be either hypersensitive or hyposensitive to stimuli  such as sound, light, or touch.  ASD is not caused by a single factor but is believed to be influenced by genetic and environmental  components. Early diagnosis and interventions like ABA, speech therapy, and occupational therapy play  a crucial role in improving long-term outcomes. |
| “BTL”  | Below-the-line  |
| “Centre of Excellence and  Research” or “COER”  | It is a flagship centre designed to drive innovation in therapy and care delivery for neurodivergent  children. This centre functions as our clinical and research hub where advanced therapeutic models,  technologies, and service processes are developed and piloted in collaboration with experts and partners.  |
| “Cerebral Palsy” or “CP”  | It is a neuromotor disorder caused by damage to the developing brain, usually before or during birth. It  affects movement, posture, and muscle coordination, leading to varying degrees of physical disability.  Symptoms of CP include:  -  Muscle stiffness or weakness, leading to difficulties in walking, balance, and coordination.  -  Involuntary movements and challenges with fine motor skills such as writing or grasping objects.  -  Speech, vision, and hearing impairments in some cases.  Although CP is not progressive, the effects can change over time. Physical therapy, assistive devices,  and adaptive interventions help individuals achieve greater mobility and independence.  |
| “CME”  | Continuing Medical Education  |
